project_id,circulating_market_value_usd,observed_at,source_id
bitcoin,1296447935147,2026-07-30T00:00:00Z,CG-BTC
ethereum,231153969086,2026-07-30T00:00:00Z,CG-ETH
bnb,78194865897,2026-07-30T00:00:00Z,CG-BNB
xrp,67887424457,2026-07-30T00:00:00Z,CG-XRP
solana,43201212821,2026-07-30T00:00:00Z,CG-SOL
tron,31174100463,2026-07-30T00:00:00Z,CG-TRX
hyperliquid,11939164442,2026-07-30T00:00:00Z,CG-HYPE
dogecoin,10942616226,2026-07-30T00:00:00Z,CG-DOGE
cardano,6433515401,2026-07-30T00:00:00Z,CG-ADA
chainlink,6345994966,2026-07-30T00:00:00Z,CG-LINK
stellar,5890690284,2026-07-30T00:00:00Z,CG-XLM
canton,4819272709,2026-07-30T00:00:00Z,CG-CANTON
litecoin,3502057761,2026-07-30T00:00:00Z,CG-LTC
hedera,2985291799,2026-07-30T00:00:00Z,CG-HBAR
sui,2821745291,2026-07-30T00:00:00Z,CG-SUI
avalanche,2799772525,2026-07-30T00:00:00Z,CG-AVAX
uniswap,2682944726,2026-07-30T00:00:00Z,CG-UNI
near,2145544810,2026-07-30T00:00:00Z,CG-NEAR
ondo,2031352304,2026-07-30T00:00:00Z,CG-ONDO
bittensor,1858029620,2026-07-30T00:00:00Z,CG-TAO
aave,1517946643,2026-07-30T00:00:00Z,CG-AAVE
sky,1336638624,2026-07-30T00:00:00Z,CG-SKY
morpho,1308566898,2026-07-30T00:00:00Z,CG-MORPHO
polkadot,1305556989,2026-07-30T00:00:00Z,CG-DOT
internet-computer,1149276970,2026-07-30T00:00:00Z,CG-ICP
